Protein FDR Confidence,Uniprot_ID,Gene_name,Description,Coverage (%),Peptides,Unique Peptides,PSMs,AAs,MW (kDa),calc. pI,Abundance
High,O75643,SNRNP200,U5 small nuclear ribonucleoprotein 200 kDa helicase,29,54,54,93,2136,244.4,6.06,204791852.625
High,Q5H9U9,DDX60L,Probable ATP-dependent RNA helicase DDX60-like,33,50,44,95,1706,197.5,8.29,244243377.625
High,Q9Y3I0,RTCB,RNA-splicing ligase RtcB homolog,54,26,26,76,505,55.2,7.23,1284052053.375
High,O43143,DHX15,ATP-dependent RNA helicase DHX15,44,36,35,85,795,90.9,7.46,727533103.625
High,Q9Y262,EIF3L,Eukaryotic translation initiation factor 3 subunit L,54,31,31,94,564,66.7,6.34,2497173748.625
High,Q13435,SF3B2,Splicing factor 3B subunit 2,41,33,33,64,895,100.2,5.67,330847424
High,Q15233,NONO,Non-POU domain-containing octamer-binding protein,53,28,27,125,471,54.2,8.95,1357259715.15625
High,Q14315,FLNC,Filamin-C,21,45,37,76,2725,290.8,5.97,105469696.125
High,Q92841,DDX17,Probable ATP-dependent RNA helicase DDX17,44,35,29,130,729,80.2,8.27,1284022851.5625
High,P60228,EIF3E,Eukaryotic translation initiation factor 3 subunit E,58,29,29,108,445,52.2,6.04,2515202113.4375
High,P14866,HNRNPL,Heterogeneous nuclear ribonucleoprotein L,36,19,19,46,589,64.1,8.22,514472791
High,Q9C0J8,WDR33,pre-mRNA 3' end processing protein WDR33,37,36,36,74,1336,145.8,9.17,184107981.875
High,P08779,KRT16,"Keratin, type I cytoskeletal 16",56,32,16,98,473,51.2,5.05,133028287.25
High,O15372,EIF3H,Eukaryotic translation initiation factor 3 subunit H,64,23,23,80,352,39.9,6.54,1362251010.75
High,P02538,KRT6A,"Keratin, type II cytoskeletal 6A",49,33,6,85,564,60.0,8.0,185273262.875
High,O15371,EIF3D,Eukaryotic translation initiation factor 3 subunit D,49,31,31,91,548,63.9,6.05,1655046007.1875
High,Q6P2E9,EDC4,Enhancer of mRNA-decapping protein 4,33,35,35,66,1401,151.6,5.86,234445802.625
High,Q6PKG0,LARP1,La-related protein 1,36,33,29,74,1096,123.4,8.82,432065511.375
High,Q8N3C0,ASCC3,Activating signal cointegrator 1 complex subunit 3,24,45,45,81,2202,251.3,7.09,135162932.875
High,P78347,GTF2I,General transcription factor II-I,43,38,38,67,998,112.3,6.39,203006010.8125
High,Q07065,CKAP4,Cytoskeleton-associated protein 4,51,30,30,68,602,66.0,5.92,346438949.5
High,A5YKK6,CNOT1,CCR4-NOT transcription complex subunit 1,25,50,50,88,2376,266.8,7.11,188978818.5
High,P13647,KRT5,"Keratin, type II cytoskeletal 5",46,35,21,92,590,62.3,7.74,633377299.5625
High,Q14444,CAPRIN1,Caprin-1,34,20,20,69,709,78.3,5.25,1779562841.0625
High,Q13045,FLII,Protein flightless-1 homolog,29,35,35,66,1269,144.7,6.05,247991112.125
High,Q7L2E3,DHX30,ATP-dependent RNA helicase DHX30,41,42,42,77,1194,133.9,8.78,410576484.6875
High,Q00839,HNRNPU,Heterogeneous nuclear ribonucleoprotein U,32,27,27,67,825,90.5,6.0,1284085214.125
High,P11021,HSPA5,Endoplasmic reticulum chaperone BiP,50,32,30,67,654,72.3,5.16,299172081.9375
High,P04259,KRT6B,"Keratin, type II cytoskeletal 6B",48,31,4,82,564,60.0,8.0,23240741.25
High,P27816,MAP4,Microtubule-associated protein 4,38,32,32,60,1152,120.9,5.43,358651665
High,Q9H2U1,DHX36,ATP-dependent DNA/RNA helicase DHX36,36,30,29,57,1008,114.7,7.68,228364628.375
High,Q9Y490,TLN1,Talin-1,21,39,35,64,2541,269.6,6.07,101521051.625
High,P09874,PARP1,Poly [ADP-ribose] polymerase 1,41,36,36,67,1014,113.0,8.88,202357235.6875
High,Q10570,CPSF1,Cleavage and polyadenylation specificity factor subunit 1,30,38,38,67,1443,160.8,6.4,396227962.375
High,Q00341,HDLBP,Vigilin,33,30,30,55,1268,141.4,6.87,152515848.75
High,P16989,YBX3,Y-box-binding protein 3,66,19,12,40,372,40.1,9.77,124956869.875
High,P26599,PTBP1,Polypyrimidine tract-binding protein 1,55,21,19,42,557,59.6,9.16,765618857.375
High,Q9UPQ9,TNRC6B,Trinucleotide repeat-containing gene 6B protein,24,24,24,47,1833,193.9,6.76,79045249.125
High,Q09666,AHNAK,Neuroblast differentiation-associated protein AHNAK,22,45,45,70,5890,628.7,6.15,75129965.5625
High,P19338,NCL,Nucleolin,35,30,30,70,710,76.6,4.7,1075086364.1875
High,P68133,ACTA1,"Actin, alpha skeletal muscle",41,19,1,186,377,42.0,5.39,1002102250.5
High,P78527,PRKDC,DNA-dependent protein kinase catalytic subunit,14,56,56,90,4128,468.8,7.12,115095522.4375
High,P35637,FUS,RNA-binding protein FUS,25,15,12,86,526,53.4,9.36,1967952468.96875
High,Q7L2H7,EIF3M,Eukaryotic translation initiation factor 3 subunit M,39,13,13,63,374,42.5,5.63,1095530174.1875
High,P14618,PKM,Pyruvate kinase PKM,48,22,22,48,531,57.9,7.84,302732887.5625
High,O94832,MYO1D,Unconventional myosin-Id,46,42,41,77,1006,116.1,9.39,329721727.1875
High,Q7KZF4,SND1,Staphylococcal nuclease domain-containing protein 1,43,35,35,62,910,101.9,7.17,221786318.625
High,P09651,HNRNPA1,Heterogeneous nuclear ribonucleoprotein A1,62,28,24,74,372,38.7,9.13,1456875063.4375
High,Q5JSZ5,PRRC2B,Protein PRRC2B,22,33,31,65,2229,242.8,8.34,126095188.75
High,O60506,SYNCRIP,Heterogeneous nuclear ribonucleoprotein Q,44,29,24,67,623,69.6,8.59,588965460.125
High,P51991,HNRNPA3,Heterogeneous nuclear ribonucleoprotein A3,41,25,22,72,378,39.6,9.01,576616556.25
High,Q9BYK8,HELZ2,Helicase with zinc finger domain 2,21,44,44,75,2649,294.5,7.49,129169221.875
High,Q7Z417,NUFIP2,FMR1-interacting protein NUFIP2,43,25,25,56,695,76.1,8.7,677878861.53125
High,Q99459,CDC5L,Cell division cycle 5-like protein,50,29,29,47,802,92.2,8.18,132499551.625
High,P35749,MYH11,Myosin-11,13,30,3,106,1972,227.2,5.5,64787188.25
High,Q86UE4,MTDH,Protein LYRIC,42,21,21,43,582,63.8,9.32,145436004.625
High,P36578,RPL4,60S ribosomal protein L4,44,25,25,58,427,47.7,11.06,1706075995.0625
High,Q9BXP5,SRRT,Serrate RNA effector molecule homolog,31,30,30,59,876,100.6,5.96,503744975.375
High,P11142,HSPA8,Heat shock cognate 71 kDa protein,37,24,21,53,646,70.9,5.52,413270009.625
High,Q9NZB2,FAM120A,Constitutive coactivator of PPAR-gamma-like protein 1,29,24,24,46,1118,121.8,8.88,342315107.125
High,O14647,CHD2,Chromodomain-helicase-DNA-binding protein 2,23,42,32,79,1828,211.2,8.1,203912268
High,P31942,HNRNPH3,Heterogeneous nuclear ribonucleoprotein H3,56,17,17,55,346,36.9,6.87,876563194.875
High,P12814,ACTN1,Alpha-actinin-1,34,26,16,49,892,103.0,5.41,67749358.625
High,Q7Z2W4,ZC3HAV1,Zinc finger CCCH-type antiviral protein 1,37,28,27,56,902,101.4,8.4,291502520.375
High,P22626,HNRNPA2B1,Heterogeneous nuclear ribonucleoproteins A2/B1,62,22,21,57,353,37.4,8.95,1147772321.875
High,Q01804,OTUD4,OTU domain-containing protein 4,28,27,27,45,1114,124.0,6.71,110125705.875
High,O95793,STAU1,Double-stranded RNA-binding protein Staufen homolog 1,51,29,28,55,577,63.1,9.44,287881926.25
High,Q13347,EIF3I,Eukaryotic translation initiation factor 3 subunit I,56,16,16,71,325,36.5,5.64,1457247737.0625
High,P14317,HCLS1,Hematopoietic lineage cell-specific protein,39,19,19,47,486,54.0,4.81,241912243
High,P17844,DDX5,Probable ATP-dependent RNA helicase DDX5,45,29,23,114,614,69.1,8.92,668091884.25
High,P63010,AP2B1,AP-2 complex subunit beta,40,32,32,64,937,104.5,5.38,299565004.25
High,P39023,RPL3,60S ribosomal protein L3,43,22,22,52,403,46.1,10.18,914400072.859375
High,Q86XP3,DDX42,ATP-dependent RNA helicase DDX42,43,30,30,54,938,102.9,7.02,140842382.625
High,P67809,YBX1,Y-box-binding protein 1,73,20,13,48,324,35.9,9.88,749727547.625
High,O43432,EIF4G3,Eukaryotic translation initiation factor 4 gamma 3,24,38,33,72,1585,176.5,5.38,254181534.25
High,Q14694,USP10,Ubiquitin carboxyl-terminal hydrolase 10,34,23,23,57,798,87.1,5.31,731109091.5
High,Q69YQ0,SPECC1L,Cytospin-A,34,29,29,54,1117,124.5,5.76,110681888.25
High,P61978,HNRNPK,Heterogeneous nuclear ribonucleoprotein K,51,23,23,69,463,50.9,5.54,1433209920.875
High,P07355,ANXA2,Annexin A2,57,25,25,53,339,38.6,7.75,665595021.75
High,Q15459,SF3A1,Splicing factor 3A subunit 1,39,26,26,48,793,88.8,5.22,139995175.875
High,P78332,RBM6,RNA-binding protein 6,33,29,29,50,1123,128.6,6.32,141690456.75
High,P60842,EIF4A1,Eukaryotic initiation factor 4A-I,51,23,10,53,406,46.1,5.48,474905381.875
High,P07437,TUBB,Tubulin beta chain,50,19,5,48,444,49.6,4.89,517083013.75
High,Q9BY44,EIF2A,Eukaryotic translation initiation factor 2A,55,24,24,56,585,64.9,8.87,308280998.75
High,P62736,ACTA2,"Actin, aortic smooth muscle",41,18,1,167,377,42.0,5.39,1877648.125
High,Q9Y5B9,SUPT16H,FACT complex subunit SPT16,28,28,28,53,1047,119.8,5.66,181054082.75
High,O00267,SUPT5H,Transcription elongation factor SPT5,31,27,27,51,1087,120.9,5.06,94862332.375
High,P67936,TPM4,Tropomyosin alpha-4 chain,58,24,13,50,248,28.5,4.69,479162864.1875
High,P12956,XRCC6,X-ray repair cross-complementing protein 6,49,26,26,48,609,69.8,6.64,192572959.25
High,P43243,MATR3,Matrin-3,37,27,27,54,847,94.6,6.25,356790721.625
High,Q9Y6M1,IGF2BP2,Insulin-like growth factor 2 mRNA-binding protein 2,45,26,23,54,599,66.1,8.46,642272931.375
High,P51116,FXR2,RNA-binding protein FXR2,43,25,20,50,673,74.2,6.23,242416179.75
High,P31943,HNRNPH1,Heterogeneous nuclear ribonucleoprotein H,35,12,6,43,449,49.2,6.3,636596585.875
High,Q07666,KHDRBS1,"KH domain-containing, RNA-binding, signal transduction-associated protein 1",45,25,21,95,443,48.2,8.66,3268145286.6875
High,P62701,RPS4X,"40S ribosomal protein S4, X isoform",55,19,19,48,263,29.6,10.15,1748189322.6875
High,P23396,RPS3,40S ribosomal protein S3,72,24,24,70,243,26.7,9.66,1117088158.25
High,O14646,CHD1,Chromodomain-helicase-DNA-binding protein 1,21,34,24,59,1710,196.6,7.14,92229246.0625
High,Q14157,UBAP2L,Ubiquitin-associated protein 2-like,32,19,19,31,1087,114.5,7.11,145648230.75
High,Q53EP0,FNDC3B,Fibronectin type III domain-containing protein 3B,18,18,18,40,1204,132.8,5.95,171703959
High,P62753,RPS6,40S ribosomal protein S6,32,13,13,37,249,28.7,10.84,505889947.40625
High,O60841,EIF5B,Eukaryotic translation initiation factor 5B,25,22,22,36,1220,138.7,5.49,135552828.9375
High,P02545,LMNA,Prelamin-A/C,41,23,23,50,664,74.1,7.02,196142091.625
High,Q9NZI8,IGF2BP1,Insulin-like growth factor 2 mRNA-binding protein 1,37,22,19,55,577,63.4,9.2,556949030.5
High,Q9UPT8,ZC3H4,Zinc finger CCCH domain-containing protein 4,22,16,16,28,1303,140.2,6.27,134532814
High,Q96I24,FUBP3,Far upstream element-binding protein 3,56,21,21,48,572,61.6,8.38,166829414.875
High,O43852,CALU,Calumenin,60,17,17,38,315,37.1,4.64,333927746.125
High,P13010,XRCC5,X-ray repair cross-complementing protein 5,40,24,24,45,732,82.7,5.81,164460885.5
High,P52732,KIF11,Kinesin-like protein KIF11,28,27,27,47,1056,119.1,5.64,172093854
High,P68371,TUBB4B,Tubulin beta-4B chain,47,18,4,45,445,49.8,4.89,49250497
High,P08729,KRT7,"Keratin, type II cytoskeletal 7",55,27,19,64,469,51.4,5.48,440412171.5
High,Q8NC51,SERBP1,Plasminogen activator inhibitor 1 RNA-binding protein,44,21,21,53,408,44.9,8.65,523103247.875
High,O00425,IGF2BP3,Insulin-like growth factor 2 mRNA-binding protein 3,34,18,14,49,579,63.7,8.87,667951493.375
High,P26038,MSN,Moesin,41,27,18,52,577,67.8,6.4,248691941.5
High,O75821,EIF3G,Eukaryotic translation initiation factor 3 subunit G,54,16,16,33,320,35.6,6.13,862074157.75
High,O14950,MYL12B,Myosin regulatory light chain 12B,55,13,4,80,172,19.8,4.84,2188860103.26563
High,Q16643,DBN1,Drebrin,37,17,17,38,649,71.4,4.45,229995860.5
High,P13639,EEF2,Elongation factor 2,27,22,21,51,858,95.3,6.83,196658203.625
High,Q99700,ATXN2,Ataxin-2,21,21,21,47,1313,140.2,9.57,257594121.78125
High,Q14671,PUM1,Pumilio homolog 1,21,21,19,42,1186,126.4,6.84,167348560.375
High,Q02878,RPL6,60S ribosomal protein L6,55,22,22,56,288,32.7,10.58,1201164886.375
High,P55265,ADAR,Double-stranded RNA-specific adenosine deaminase,26,28,28,49,1226,136.0,8.65,119689944.9375
High,P07814,EPRS1,Bifunctional glutamate/proline--tRNA ligase,24,28,28,50,1512,170.5,7.33,74954123.375
High,P19474,TRIM21,E3 ubiquitin-protein ligase TRIM21,36,20,20,45,475,54.1,6.38,463284655.132813
High,O75822,EIF3J,Eukaryotic translation initiation factor 3 subunit J,37,13,13,31,258,29.0,4.83,233790600
High,O43390,HNRNPR,Heterogeneous nuclear ribonucleoprotein R,34,24,19,50,633,70.9,8.13,203660878.125
High,P02751,FN1,Fibronectin,14,23,23,41,2477,272.2,5.5,77319801.875
High,Q13201,MMRN1,Multimerin-1,26,22,22,39,1228,138.0,7.93,104899286
High,O95782,AP2A1,AP-2 complex subunit alpha-1,32,25,19,46,977,107.5,7.03,211866718.625
High,Q9BUJ2,HNRNPUL1,Heterogeneous nuclear ribonucleoprotein U-like protein 1,21,18,18,40,856,95.7,6.92,244307915.625
High,Q7Z478,DHX29,ATP-dependent RNA helicase DHX29,25,26,26,44,1369,155.1,8.09,87693900.25
High,O00303,EIF3F,Eukaryotic translation initiation factor 3 subunit F,43,14,14,79,357,37.5,5.45,1790438438.4375
High,Q9UKV8,AGO2,Protein argonaute-2,30,22,18,44,859,97.1,9.19,224385063
High,Q01844,EWSR1,RNA-binding protein EWS,14,12,12,57,656,68.4,9.33,825201541.5625
High,Q6Y7W6,GIGYF2,GRB10-interacting GYF protein 2,16,17,17,33,1299,150.0,5.54,108897261.25
High,Q5T6F2,UBAP2,Ubiquitin-associated protein 2,27,14,14,26,1119,117.0,7.34,76390697
High,Q86V48,LUZP1,Leucine zipper protein 1,30,25,25,43,1076,120.2,8.5,58597842.5625
High,O15042,U2SURP,U2 snRNP-associated SURP motif-containing protein,29,24,24,43,1029,118.2,8.47,168335507.75
High,P61247,RPS3A,40S ribosomal protein S3a,61,23,23,68,264,29.9,9.73,2798339554.9375
High,P09493,TPM1,Tropomyosin alpha-1 chain,43,21,8,41,284,32.7,4.74,121803626.875
High,Q06787,FMR1,Fragile X messenger ribonucleoprotein 1,37,21,18,43,632,71.1,7.42,215362946.125
High,Q8NCA5,FAM98A,Protein FAM98A,35,12,8,32,518,55.2,8.95,356713923.3125
High,Q5U651,RASIP1,Ras-interacting protein 1,33,19,19,35,963,103.4,7.96,124572946.375
High,P16403,H1-2,Histone H1.2,44,16,4,43,213,21.4,10.93,774403946.9375
High,O00159,MYO1C,Unconventional myosin-Ic,30,30,30,50,1063,121.6,9.41,143401369.1875
High,Q96QC0,PPP1R10,Serine/threonine-protein phosphatase 1 regulatory subunit 10,26,22,22,38,940,99.0,9.17,152286847.9375
High,O95714,HERC2,E3 ubiquitin-protein ligase HERC2,8,28,28,43,4834,526.9,6.28,45867716.3125
High,Q9Y613,FHOD1,FH1/FH2 domain-containing protein 1,27,25,25,44,1164,126.5,6.39,69677622
High,Q15029,EFTUD2,116 kDa U5 small nuclear ribonucleoprotein component,29,26,25,44,972,109.4,5.0,141797934.375
High,P06748,NPM1,Nucleophosmin,33,8,8,21,294,32.6,4.78,528201325.75
High,P05388,RPLP0,60S acidic ribosomal protein P0,46,16,16,38,317,34.3,5.97,880507630.8125
High,Q14240,EIF4A2,Eukaryotic initiation factor 4A-II,45,20,7,44,407,46.4,5.48,48544355.875
High,Q15717,ELAVL1,ELAV-like protein 1,43,13,13,36,326,36.1,9.17,310233367.25
High,Q9Y2W1,THRAP3,Thyroid hormone receptor-associated protein 3,22,18,17,44,955,108.6,10.15,261969755.1875
High,P25205,MCM3,DNA replication licensing factor MCM3,33,22,22,37,808,90.9,5.77,104576803.625
High,O43776,NARS1,"Asparagine--tRNA ligase, cytoplasmic",30,19,19,38,548,62.9,6.25,162284174.625
High,O43809,NUDT21,Cleavage and polyadenylation specificity factor subunit 5,57,17,17,42,227,26.2,8.82,893609323.125
High,P15924,DSP,Desmoplakin,11,30,30,48,2871,331.6,6.81,94977429.75
High,P38919,EIF4A3,Eukaryotic initiation factor 4A-III,50,22,19,45,411,46.8,6.73,260648930.25
High,P07951,TPM2,Tropomyosin beta chain,43,19,5,37,284,32.8,4.7,14468917
High,P15880,RPS2,40S ribosomal protein S2,50,14,14,39,293,31.3,10.24,1183548251
High,P05783,KRT18,"Keratin, type I cytoskeletal 18",59,22,19,47,430,48.0,5.45,138819178.75
High,P46063,RECQL,ATP-dependent DNA helicase Q1,30,16,16,34,649,73.4,7.88,95263231.75
High,P10412,H1-4,Histone H1.4,38,15,2,37,219,21.9,11.03,24740831
High,P62906,RPL10A,60S ribosomal protein L10a,45,14,14,39,217,24.8,9.94,1249648946.48828
High,P07996,THBS1,Thrombospondin-1,24,22,22,35,1170,129.3,4.94,235054632.125
High,Q9C0C2,TNKS1BP1,182 kDa tankyrase-1-binding protein,17,19,19,34,1729,181.7,4.86,28470109.5625
High,P23588,EIF4B,Eukaryotic translation initiation factor 4B,29,16,16,39,611,69.1,5.73,845385266.75
High,O94973,AP2A2,AP-2 complex subunit alpha-2,26,19,13,38,939,103.9,6.96,52086300
High,P68400,CSNK2A1,Casein kinase II subunit alpha,47,14,14,26,391,45.1,7.74,77426035.3125
High,P20042,EIF2S2,Eukaryotic translation initiation factor 2 subunit 2,40,16,16,32,333,38.4,5.8,144012663.625
High,P19525,EIF2AK2,"Interferon-induced, double-stranded RNA-activated protein kinase",36,19,19,38,551,62.1,8.4,301775657.25
High,P24844,MYL9,Myosin regulatory light polypeptide 9,55,12,3,56,172,19.8,4.92,16487166.125
High,Q9BUF5,TUBB6,Tubulin beta-6 chain,36,15,9,37,446,49.8,4.88,65563177.875
High,P06753,TPM3,Tropomyosin alpha-3 chain,44,17,7,36,285,32.9,4.72,103870707.25
High,Q15293,RCN1,Reticulocalbin-1,46,13,13,29,331,38.9,5.0,165455729.5
High,Q8IY21,DDX60,Probable ATP-dependent RNA helicase DDX60,19,28,22,48,1712,197.7,7.59,64627274.6875
High,P26368,U2AF2,Splicing factor U2AF 65 kDa subunit,39,12,12,28,475,53.5,9.09,121164230.875
High,O43290,SART1,U4/U6.U5 tri-snRNP-associated protein 1,32,21,21,36,800,90.2,6.13,154809146.5
High,P62263,RPS14,40S ribosomal protein S14,42,10,10,24,151,16.3,10.05,702819075.8125
High,P11387,TOP1,DNA topoisomerase 1,29,21,21,44,765,90.7,9.31,182647169.75
High,Q9NUL3,STAU2,Double-stranded RNA-binding protein Staufen homolog 2,45,20,19,37,570,62.6,9.61,105023305.5
High,P62750,RPL23A,60S ribosomal protein L23a,56,16,16,54,156,17.7,10.45,842954977.046875
High,P0DMV9,HSPA1B,Heat shock 70 kDa protein 1B,34,19,17,33,641,70.0,5.66,80973568.625
High,Q92945,KHSRP,Far upstream element-binding protein 2,32,17,17,32,711,73.1,7.3,84853186
High,Q96SB4,SRPK1,SRSF protein kinase 1,28,16,14,29,655,74.3,6.16,85434483.375
High,P52597,HNRNPF,Heterogeneous nuclear ribonucleoprotein F,47,13,11,29,415,45.6,5.58,463003450.875
High,Q9NR30,DDX21,Nucleolar RNA helicase 2,27,20,18,38,783,87.3,9.28,129107608.875
High,Q8NE71,ABCF1,ATP-binding cassette sub-family F member 1,26,19,19,36,845,95.9,6.8,77025554.75
High,P08238,HSP90AB1,Heat shock protein HSP 90-beta,29,20,12,40,724,83.2,5.03,81317222.125
High,O76094,SRP72,Signal recognition particle subunit SRP72,32,17,17,28,671,74.6,9.26,64405476
High,Q71U36,TUBA1A,Tubulin alpha-1A chain,42,13,13,40,451,50.1,5.06,367634677
High,Q9UM54,MYO6,Unconventional myosin-VI,19,22,22,39,1294,149.6,8.53,56612067.375
High,Q9H6S0,YTHDC2,3'-5' RNA helicase YTHDC2,17,21,21,35,1430,160.1,8.4,69798679.375
High,P05387,RPLP2,60S acidic ribosomal protein P2,76,9,9,24,115,11.7,4.54,329040209
High,Q00610,CLTC,Clathrin heavy chain 1,16,23,23,42,1675,191.5,5.69,176330484.5625
High,Q9NYF8,BCLAF1,Bcl-2-associated transcription factor 1,17,16,15,32,920,106.1,9.98,165618784.625
High,P18124,RPL7,60S ribosomal protein L7,51,19,19,41,248,29.2,10.65,1286666327.75
High,Q5K651,SAMD9,Sterile alpha motif domain-containing protein 9,16,23,21,42,1589,184.2,7.83,48193238.75
High,P32969,RPL9P9,60S ribosomal protein L9,59,13,13,30,192,21.9,9.95,519234708.5
High,Q9Y5X1,SNX9,Sorting nexin-9,33,16,16,28,595,66.6,5.58,96022353.125
High,P16402,H1-3,Histone H1.3,38,15,2,36,221,22.3,11.02,7119357.5
High,O94906,PRPF6,Pre-mRNA-processing factor 6,26,22,22,39,941,106.9,8.25,67307338
High,Q9Y224,RTRAF,"RNA transcription, translation and transport factor protein",59,13,13,31,244,28.1,6.65,736663783.25
High,P35251,RFC1,Replication factor C subunit 1,23,22,22,41,1148,128.2,9.36,73315737.5
