Protein FDR Confidence,Uniprot_ID,Gene_name,Description,Coverage (%),Peptides,Unique Peptides,PSMs,AAs,MW (kDa),calc. pI,Abundance
High,O43707,ACTN4,Alpha-actinin-4,45,34,25,68,911,104.8,5.44,159130346.0625
High,P08779,KRT16,"Keratin, type I cytoskeletal 16",55,31,15,128,473,51.2,5.05,63758804.1875
High,P07437,TUBB,Tubulin beta chain,51,21,5,73,444,49.6,4.89,696359791.625
High,Q92499,DDX1,ATP-dependent RNA helicase DDX1,49,35,35,75,740,82.4,7.23,283611302.75
High,Q08211,DHX9,ATP-dependent RNA helicase A,31,31,31,64,1270,140.9,6.84,160163270.4375
High,Q99613,EIF3C,Eukaryotic translation initiation factor 3 subunit C,31,29,29,64,913,105.3,5.68,539479470.4375
High,Q9Y262,EIF3L,Eukaryotic translation initiation factor 3 subunit L,53,30,30,68,564,66.7,6.34,654323502.6875
High,P78347,GTF2I,General transcription factor II-I,39,38,38,71,998,112.3,6.39,128618442.34375
High,P68133,ACTA1,"Actin, alpha skeletal muscle",37,18,1,222,377,42.0,5.39,548743086.375
High,P68371,TUBB4B,Tubulin beta-4B chain,51,20,3,69,445,49.8,4.89,76529482.25
High,Q14764,MVP,Major vault protein,44,30,30,56,893,99.3,5.48,129368763.375
High,P27708,CAD,CAD protein,22,41,41,76,2225,242.8,6.46,102358776.5625
High,P04259,KRT6B,"Keratin, type II cytoskeletal 6B",46,32,3,85,564,60.0,8.0,7654140.25
High,P35749,MYH11,Myosin-11,13,30,1,104,1972,227.2,5.5,733321.625
High,P46940,IQGAP1,Ras GTPase-activating-like protein IQGAP1,31,42,41,77,1657,189.1,6.48,110660949.375
High,P51991,HNRNPA3,Heterogeneous nuclear ribonucleoprotein A3,39,23,21,58,378,39.6,9.01,172076915.46875
High,Q14204,DYNC1H1,Cytoplasmic dynein 1 heavy chain 1,12,47,47,77,4646,532.1,6.4,52446491.4375
High,P19474,TRIM21,E3 ubiquitin-protein ligase TRIM21,39,21,21,56,475,54.1,6.38,477143088.023438
High,Q13885,TUBB2A,Tubulin beta-2A chain,49,19,3,62,445,49.9,4.89,6624396.625
High,Q9BXP5,SRRT,Serrate RNA effector molecule homolog,30,29,29,61,876,100.6,5.96,257180212.15625
High,Q13045,FLII,Protein flightless-1 homolog,28,33,33,65,1269,144.7,6.05,130464015.4375
High,O15371,EIF3D,Eukaryotic translation initiation factor 3 subunit D,46,24,24,56,548,63.9,6.05,373586195.6875
High,P67936,TPM4,Tropomyosin alpha-4 chain,65,28,16,63,248,28.5,4.69,330341885.1875
High,P11021,HSPA5,Endoplasmic reticulum chaperone BiP,51,32,30,59,654,72.3,5.16,126730507.875
High,P12814,ACTN1,Alpha-actinin-1,32,24,15,46,892,103.0,5.41,41394348.9375
High,P35637,FUS,RNA-binding protein FUS,21,14,11,80,526,53.4,9.36,918494650.25
High,P07355,ANXA2,Annexin A2,58,25,25,63,339,38.6,7.75,646696424.8125
High,Q9Y3I0,RTCB,RNA-splicing ligase RtcB homolog,45,21,21,56,505,55.2,7.23,231098253.4375
High,P62736,ACTA2,"Actin, aortic smooth muscle",37,17,1,198,377,42.0,5.39,1394456.375
High,P14618,PKM,Pyruvate kinase PKM,52,24,24,51,531,57.9,7.84,249272858.25
High,Q92841,DDX17,Probable ATP-dependent RNA helicase DDX17,42,31,25,112,729,80.2,8.27,317854958.625
High,Q07065,CKAP4,Cytoskeleton-associated protein 4,51,26,26,51,602,66.0,5.92,83088391.125
High,P09651,HNRNPA1,Heterogeneous nuclear ribonucleoprotein A1,42,19,17,52,372,38.7,9.13,221172278.25
High,O75955,FLOT1,Flotillin-1,63,24,24,43,427,47.3,7.49,136184647.1875
High,P11142,HSPA8,Heat shock cognate 71 kDa protein,35,22,19,49,646,70.9,5.52,134587127.5625
High,P53621,COPA,Coatomer subunit alpha,31,32,32,60,1224,138.3,7.66,117981901.625
High,P08238,HSP90AB1,Heat shock protein HSP 90-beta,30,25,17,52,724,83.2,5.03,105335731.875
High,P31942,HNRNPH3,Heterogeneous nuclear ribonucleoprotein H3,66,16,16,66,346,36.9,6.87,721935109.375
High,P61978,HNRNPK,Heterogeneous nuclear ribonucleoprotein K,49,22,22,62,463,50.9,5.54,475497254.96875
High,P98175,RBM10,RNA-binding protein 10,36,24,23,48,930,103.5,5.97,83416007.1875
High,Q9Y5X1,SNX9,Sorting nexin-9,40,19,19,42,595,66.6,5.58,89665042.375
High,P13639,EEF2,Elongation factor 2,30,29,28,65,858,95.3,6.83,247257344.875
High,P15924,DSP,Desmoplakin,14,36,36,69,2871,331.6,6.81,85600422.875
High,Q7L2H7,EIF3M,Eukaryotic translation initiation factor 3 subunit M,39,14,14,40,374,42.5,5.63,272723435.1875
High,P60228,EIF3E,Eukaryotic translation initiation factor 3 subunit E,54,25,25,64,445,52.2,6.04,517789568.375
High,P60842,EIF4A1,Eukaryotic initiation factor 4A-I,51,22,10,50,406,46.1,5.48,198996620.875
High,P14866,HNRNPL,Heterogeneous nuclear ribonucleoprotein L,35,14,14,37,589,64.1,8.22,145224713
High,Q92804,TAF15,TATA-binding protein-associated factor 2N,20,12,9,47,592,61.8,8.02,576842020.75
High,O43143,DHX15,ATP-dependent RNA helicase DHX15,39,29,28,61,795,90.9,7.46,124602619.625
High,O15372,EIF3H,Eukaryotic translation initiation factor 3 subunit H,60,21,21,63,352,39.9,6.54,333880391.6875
High,P22626,HNRNPA2B1,Heterogeneous nuclear ribonucleoproteins A2/B1,56,17,17,40,353,37.4,8.95,345956762.453125
High,O14950,MYL12B,Myosin regulatory light chain 12B,55,14,5,91,172,19.8,4.84,1579293085.88672
High,O14647,CHD2,Chromodomain-helicase-DNA-binding protein 2,21,38,27,67,1828,211.2,8.1,79794321.25
High,P14317,HCLS1,Hematopoietic lineage cell-specific protein,44,18,18,41,486,54.0,4.81,141059658.125
High,P23246,SFPQ,"Splicing factor, proline- and glutamine-rich",34,21,20,54,707,76.1,9.44,166973527.28125
High,P31943,HNRNPH1,Heterogeneous nuclear ribonucleoprotein H,35,12,6,43,449,49.2,6.3,510745074.25
High,Q7Z6Z7,HUWE1,E3 ubiquitin-protein ligase HUWE1,10,34,34,58,4374,481.6,5.22,34558312
High,P78527,PRKDC,DNA-dependent protein kinase catalytic subunit,11,43,43,68,4128,468.8,7.12,42327554.875
High,Q9C0J8,WDR33,pre-mRNA 3' end processing protein WDR33,25,25,25,40,1336,145.8,9.17,50398140.6875
High,Q00610,CLTC,Clathrin heavy chain 1,18,26,26,46,1675,191.5,5.69,53906494.59375
High,P11940,PABPC1,Polyadenylate-binding protein 1,38,21,12,48,636,70.6,9.5,134747531.3125
High,Q92900,UPF1,Regulator of nonsense transcripts 1,32,27,27,47,1129,124.3,6.61,52843745.6875
High,Q13347,EIF3I,Eukaryotic translation initiation factor 3 subunit I,62,16,16,56,325,36.5,5.64,290794930.5
High,Q9Y5B9,SUPT16H,FACT complex subunit SPT16,22,25,25,48,1047,119.8,5.66,97169604
High,P78332,RBM6,RNA-binding protein 6,30,28,28,54,1123,128.6,6.32,61334524
High,P51114,FXR1,RNA-binding protein FXR1,39,25,22,46,621,69.7,6.15,83516466
High,Q9Y2W1,THRAP3,Thyroid hormone receptor-associated protein 3,25,25,24,58,955,108.6,10.15,304515951.46875
High,Q10570,CPSF1,Cleavage and polyadenylation specificity factor subunit 1,24,32,32,60,1443,160.8,6.4,105423059.8125
High,P62987,UBA52,Ubiquitin-60S ribosomal protein L40,56,14,14,98,128,14.7,9.83,1925388037.8125
High,Q13509,TUBB3,Tubulin beta-3 chain,34,16,2,58,450,50.4,4.93,25829219.25
High,Q07666,KHDRBS1,"KH domain-containing, RNA-binding, signal transduction-associated protein 1",43,20,18,66,443,48.2,8.66,973000000.8125
High,Q71U36,TUBA1A,Tubulin alpha-1A chain,45,16,5,45,451,50.1,5.06,421936817.375
High,P52272,HNRNPM,Heterogeneous nuclear ribonucleoprotein M,42,21,21,52,730,77.5,8.7,86298522.46875
High,Q00839,HNRNPU,Heterogeneous nuclear ribonucleoprotein U,28,23,23,45,825,90.5,6.0,143170263.6875
High,Q01813,PFKP,"ATP-dependent 6-phosphofructokinase, platelet type",32,22,20,43,784,85.5,7.55,44210037.3125
High,P12956,XRCC6,X-ray repair cross-complementing protein 6,46,25,25,42,609,69.8,6.64,121677160.8125
High,P17844,DDX5,Probable ATP-dependent RNA helicase DDX5,39,29,23,102,614,69.1,8.92,157458119.5625
High,Q16666,IFI16,Gamma-interferon-inducible protein 16,38,25,25,48,785,88.2,9.28,49512293.5625
High,Q04695,KRT17,"Keratin, type I cytoskeletal 17",44,24,8,73,432,48.1,5.02,10050277.375
High,P09493,TPM1,Tropomyosin alpha-1 chain,39,21,9,45,284,32.7,4.74,66903175.625
High,Q9BUF5,TUBB6,Tubulin beta-6 chain,42,16,7,51,446,49.8,4.88,42290057
High,P46821,MAP1B,Microtubule-associated protein 1B,14,24,24,39,2468,270.5,4.81,31577490.9375
High,Q9NYF8,BCLAF1,Bcl-2-associated transcription factor 1,18,21,20,43,920,106.1,9.98,173659618.4375
High,P23588,EIF4B,Eukaryotic translation initiation factor 4B,28,21,21,68,611,69.1,5.73,622601998.296875
High,O43852,CALU,Calumenin,58,15,15,31,315,37.1,4.64,122315669.1875
High,O00303,EIF3F,Eukaryotic translation initiation factor 3 subunit F,41,13,13,47,357,37.5,5.45,422832293.9375
High,O00159,MYO1C,Unconventional myosin-Ic,28,27,27,51,1063,121.6,9.41,82162575.34375
High,P13010,XRCC5,X-ray repair cross-complementing protein 5,31,22,22,39,732,82.7,5.81,78943848.5
High,P07951,TPM2,Tropomyosin beta chain,44,20,6,41,284,32.8,4.7,12239644.75
High,O14646,CHD1,Chromodomain-helicase-DNA-binding protein 1,19,32,21,62,1710,196.6,7.14,38309999.75
High,Q7KZF4,SND1,Staphylococcal nuclease domain-containing protein 1,32,25,25,47,910,101.9,7.17,65289577.125
High,P23396,RPS3,40S ribosomal protein S3,70,20,20,47,243,26.7,9.66,256376057.625
High,O00267,SUPT5H,Transcription elongation factor SPT5,29,24,24,42,1087,120.9,5.06,39587120.9375
High,Q07955,SRSF1,Serine/arginine-rich splicing factor 1,47,17,16,66,248,27.7,10.36,538907993.5
High,Q15393,SF3B3,Splicing factor 3B subunit 3,30,29,29,44,1217,135.5,5.26,57541221
High,P02545,LMNA,Prelamin-A/C,35,22,22,44,664,74.1,7.02,77224318.875
High,Q9H2U1,DHX36,ATP-dependent DNA/RNA helicase DHX36,25,20,20,37,1008,114.7,7.68,42760798.875
High,P07900,HSP90AA1,Heat shock protein HSP 90-alpha,21,15,9,35,732,84.6,5.02,21975198.5625
High,P08729,KRT7,"Keratin, type II cytoskeletal 7",48,22,16,57,469,51.4,5.48,261411427
High,Q01844,EWSR1,RNA-binding protein EWS,14,12,12,38,656,68.4,9.33,196629699.1875
High,P68366,TUBA4A,Tubulin alpha-4A chain,38,14,2,39,448,49.9,5.06,16375147.4375
High,Q12906,ILF3,Interleukin enhancer-binding factor 3,31,21,21,35,894,95.3,8.76,66311069.3125
High,P06733,ENO1,Alpha-enolase,47,17,17,29,434,47.1,7.39,97527906.5
High,P07814,EPRS1,Bifunctional glutamate/proline--tRNA ligase,25,28,28,49,1512,170.5,7.33,40856435.015625
High,O75533,SF3B1,Splicing factor 3B subunit 1,22,19,19,34,1304,145.7,7.09,25862745.625
High,P06753,TPM3,Tropomyosin alpha-3 chain,41,18,8,37,285,32.9,4.72,113906050.5
High,Q9P2E9,RRBP1,Ribosome-binding protein 1,20,21,21,33,1410,152.4,8.6,30992400.59375
High,P0DMV9,HSPA1B,Heat shock 70 kDa protein 1B,31,17,15,38,641,70.0,5.66,41714104.34375
High,O60506,SYNCRIP,Heterogeneous nuclear ribonucleoprotein Q,30,17,14,35,623,69.6,8.59,92019996.375
High,P67809,YBX1,Y-box-binding protein 1,66,13,8,27,324,35.9,9.88,45315017.25
High,Q5U651,RASIP1,Ras-interacting protein 1,25,15,15,26,963,103.4,7.96,32077201.375
High,Q8WWM7,ATXN2L,Ataxin-2-like protein,23,19,19,34,1075,113.3,8.59,116710764.875
High,O15027,SEC16A,Protein transport protein Sec16A,17,25,25,38,2357,251.7,5.8,34293453
High,Q02413,DSG1,Desmoglein-1,17,15,15,35,1049,113.7,5.03,40337436.5625
High,Q14254,FLOT2,Flotillin-2,47,20,20,41,428,47.0,5.25,82040536.6875
High,Q9NVI7,ATAD3A,ATPase family AAA domain-containing protein 3A,31,22,9,41,634,71.3,8.98,89289895.125
High,P19338,NCL,Nucleolin,29,22,22,37,710,76.6,4.7,114547454.0625
High,Q16643,DBN1,Drebrin,32,15,15,37,649,71.4,4.45,96985510.625
High,Q96HP0,DOCK6,Dedicator of cytokinesis protein 6,16,29,26,46,2047,229.4,6.74,31159399.3125
High,Q15424,SAFB,Scaffold attachment factor B1,20,17,10,29,915,102.6,5.47,35625418.90625
High,P24844,MYL9,Myosin regulatory light polypeptide 9,55,11,2,62,172,19.8,4.92,5731828.5
High,P36578,RPL4,60S ribosomal protein L4,33,18,18,36,427,47.7,11.06,163242506
High,Q8TBC3,SHKBP1,SH3KBP1-binding protein 1,34,18,16,32,707,76.3,8.28,75613828.5
High,P50454,SERPINH1,Serpin H1,44,15,15,27,418,46.4,8.69,75953092.8125
High,P61247,RPS3A,40S ribosomal protein S3a,52,19,19,43,264,29.9,9.73,156758268.375
High,Q93008,USP9X,Probable ubiquitin carboxyl-terminal hydrolase FAF-X,14,34,34,60,2554,290.3,5.8,56932396.0625
High,O43809,NUDT21,Cleavage and polyadenylation specificity factor subunit 5,57,17,17,44,227,26.2,8.82,370614549.3125
High,Q8WUM4,PDCD6IP,Programmed cell death 6-interacting protein,28,21,21,40,868,96.0,6.52,45597761.3125
High,Q99873,PRMT1,Protein arginine N-methyltransferase 1,37,12,12,33,371,42.4,5.35,91671358.875
High,P13797,PLS3,Plastin-3,32,17,17,31,630,70.8,5.6,44279165.0625
High,P55265,ADAR,Double-stranded RNA-specific adenosine deaminase,19,20,20,33,1226,136.0,8.65,49415449.5
High,P53396,ACLY,ATP-citrate synthase,28,25,25,35,1101,120.8,7.33,42540493.1875
High,P60660,MYL6,Myosin light polypeptide 6,67,13,9,64,151,16.9,4.65,1719987217.8125
High,Q14151,SAFB2,Scaffold attachment factor B2,18,13,6,23,953,107.4,6.16,5858058.375
High,Q08945,SSRP1,FACT complex subunit SSRP1,33,22,22,40,709,81.0,6.87,59230034.625
High,Q8NDA8,MROH1,Maestro heat-like repeat-containing protein family member 1,17,26,26,45,1641,181.1,6.89,64769034.125
High,Q9UHB6,LIMA1,LIM domain and actin-binding protein 1,28,17,17,34,759,85.2,6.84,32828062.375
High,P09012,SNRPA,U1 small nuclear ribonucleoprotein A,40,10,7,29,282,31.3,9.83,69378005.25
High,Q9BUJ2,HNRNPUL1,Heterogeneous nuclear ribonucleoprotein U-like protein 1,19,15,15,29,856,95.7,6.92,55216817.875
High,P47756,CAPZB,F-actin-capping protein subunit beta,42,15,15,31,272,30.6,6.0,70626450.0625
High,Q9Y230,RUVBL2,RuvB-like 2,40,16,16,32,463,51.1,5.64,35005658.5
High,P27816,MAP4,Microtubule-associated protein 4,22,17,17,29,1152,120.9,5.43,35747875.71875
High,Q562R1,ACTBL2,Beta-actin-like protein 2,22,11,3,105,376,42.0,5.59,10881521.5
High,Q86YZ3,HRNR,Hornerin,14,8,8,12,2850,282.2,10.04,21070368.25
High,P52907,CAPZA1,F-actin-capping protein subunit alpha-1,62,12,9,24,286,32.9,5.69,88966308.625
High,P25705,ATP5F1A,"ATP synthase subunit alpha, mitochondrial",36,18,18,28,553,59.7,9.13,45638434.875
High,P38919,EIF4A3,Eukaryotic initiation factor 4A-III,42,17,14,33,411,46.8,6.73,29017725.3125
High,Q9Y608,LRRFIP2,Leucine-rich repeat flightless-interacting protein 2,21,15,14,28,721,82.1,6.95,43250215.1875
High,Q15293,RCN1,Reticulocalbin-1,54,13,13,22,331,38.9,5.0,70181015.25
High,Q9NYL9,TMOD3,Tropomodulin-3,44,13,13,29,352,39.6,5.19,82157423.875
High,Q13435,SF3B2,Splicing factor 3B subunit 2,27,19,19,33,895,100.2,5.67,35690314.125
High,Q15417,CNN3,Calponin-3,43,8,8,26,329,36.4,6.05,32284372.5
High,Q13310,PABPC4,Polyadenylate-binding protein 4,31,19,10,37,644,70.7,9.26,36984911.125
High,O95819,MAP4K4,Mitogen-activated protein kinase kinase kinase kinase 4,17,16,16,31,1239,142.0,7.46,37997512.75
High,Q13425,SNTB2,Beta-2-syntrophin,34,17,17,37,540,57.9,8.82,73458113.6875
High,Q9HCE1,MOV10,Helicase MOV-10,21,18,18,32,1003,113.6,8.82,27957185.8125
High,P68400,CSNK2A1,Casein kinase II subunit alpha,46,13,12,24,391,45.1,7.74,33161533.875
High,P16403,H1-2,Histone H1.2,34,12,4,36,213,21.4,10.93,96742253.1875
High,Q16555,DPYSL2,Dihydropyrimidinase-related protein 2,37,15,13,24,572,62.3,6.38,27243222.125
High,Q99816,TSG101,Tumor susceptibility gene 101 protein,38,18,18,39,390,43.9,6.46,146894542.5
High,P62701,RPS4X,"40S ribosomal protein S4, X isoform",56,17,17,31,263,29.6,10.15,228181220.625
High,Q9UN86,G3BP2,Ras GTPase-activating protein-binding protein 2,35,13,12,24,482,54.1,5.55,35425397.25
High,Q15233,NONO,Non-POU domain-containing octamer-binding protein,33,16,15,40,471,54.2,8.95,89966416.75
High,P39023,RPL3,60S ribosomal protein L3,35,15,15,24,403,46.1,10.18,96640976.4375
High,Q14240,EIF4A2,Eukaryotic initiation factor 4A-II,33,14,2,28,407,46.4,5.48,2852180.25
High,P04406,GAPDH,Glyceraldehyde-3-phosphate dehydrogenase,59,13,12,27,335,36.0,8.46,59556034.6875
High,Q9P0K7,RAI14,Ankycorbin,24,21,21,37,980,110.0,6.21,33012400.75
High,Q04637,EIF4G1,Eukaryotic translation initiation factor 4 gamma 1,15,21,17,37,1599,175.4,5.33,43458390.3125
High,Q9Y224,RTRAF,"RNA transcription, translation and transport factor protein",55,12,12,26,244,28.1,6.65,152829511
High,P29692,EEF1D,Elongation factor 1-delta,46,11,11,29,281,31.1,5.01,253645694.875
High,Q00341,HDLBP,Vigilin,19,20,20,30,1268,141.4,6.87,26481858.375
High,Q7Z417,NUFIP2,FMR1-interacting protein NUFIP2,31,14,14,28,695,76.1,8.7,34883612.5
High,Q92614,MYO18A,Unconventional myosin-XVIIIa,13,24,24,40,2054,233.0,6.3,31490003.625
High,P63010,AP2B1,AP-2 complex subunit beta,25,22,13,37,937,104.5,5.38,37909239.65625
High,Q8NCA5,FAM98A,Protein FAM98A,31,10,7,25,518,55.2,8.95,56741197.75
High,Q8N684,CPSF7,Cleavage and polyadenylation specificity factor subunit 7,31,13,13,28,471,52.0,8.0,136232156
High,P62269,RPS18,40S ribosomal protein S18,64,18,18,40,152,17.7,10.99,261889316.75
High,Q86V48,LUZP1,Leucine zipper protein 1,20,15,15,27,1076,120.2,8.5,15053212.25
High,O60716,CTNND1,Catenin delta-1,19,14,14,29,968,108.1,6.23,38259153.8125
High,P04275,VWF,von Willebrand factor,8,14,14,25,2813,309.1,5.48,16393461.3125
High,P14649,MYL6B,Myosin light chain 6B,66,14,10,31,208,22.8,5.73,551424957
High,O75821,EIF3G,Eukaryotic translation initiation factor 3 subunit G,51,12,12,21,320,35.6,6.13,305190961.25
High,P10809,HSPD1,"60 kDa heat shock protein, mitochondrial",28,17,17,32,573,61.0,5.87,43277982.1875
High,P68104,EEF1A1,Elongation factor 1-alpha 1,37,13,13,35,462,50.1,9.01,352075628.515625
High,O43390,HNRNPR,Heterogeneous nuclear ribonucleoprotein R,24,15,12,31,633,70.9,8.13,35592465.4375
High,P41252,IARS1,"Isoleucine--tRNA ligase, cytoplasmic",15,16,16,31,1262,144.4,6.15,33138787.5
High,P10412,H1-4,Histone H1.4,28,10,2,28,219,21.9,11.03,3990752.875
High,P55081,MFAP1,Microfibrillar-associated protein 1,26,11,11,23,439,51.9,4.98,50320070.0625
High,Q8IXT5,RBM12B,RNA-binding protein 12B,23,22,22,36,1001,118.0,6.81,54469313.59375
High,P14923,JUP,Junction plakoglobin,22,15,14,33,745,81.7,6.14,55844266.4375
High,P06748,NPM1,Nucleophosmin,33,8,8,17,294,32.6,4.78,101346033.25
High,P23381,WARS1,"Tryptophan--tRNA ligase, cytoplasmic",40,14,14,26,471,53.1,6.23,38611874.71875
High,P05388,RPLP0,60S acidic ribosomal protein P0,41,11,11,23,317,34.3,5.97,90222440.5
High,Q9P2J5,LARS1,"Leucine--tRNA ligase, cytoplasmic",18,19,19,31,1176,134.4,7.3,24012989.75
High,Q15366,PCBP2,Poly(rC)-binding protein 2,45,9,6,21,365,38.6,6.79,39695597.5
High,P33176,KIF5B,Kinesin-1 heavy chain,20,17,17,31,963,109.6,6.51,33436957.0625
High,P52597,HNRNPF,Heterogeneous nuclear ribonucleoprotein F,35,12,10,26,415,45.6,5.58,87920656.25
High,Q13242,SRSF9,Serine/arginine-rich splicing factor 9,57,16,15,41,221,25.5,8.65,199742523.375
High,Q06830,PRDX1,Peroxiredoxin-1,61,15,12,35,199,22.1,8.13,205289826.25
High,P26368,U2AF2,Splicing factor U2AF 65 kDa subunit,38,11,11,18,475,53.5,9.09,56941816.75
High,Q15365,PCBP1,Poly(rC)-binding protein 1,40,9,6,21,356,37.5,7.09,56612650.75
High,Q7Z2W4,ZC3HAV1,Zinc finger CCCH-type antiviral protein 1,24,17,16,30,902,101.4,8.4,25772144.40625
High,Q9BYX7,POTEKP,Putative beta-actin-like protein 3,22,6,2,58,375,42.0,6.33,10863894.75
High,P21980,TGM2,Protein-glutamine gamma-glutamyltransferase 2,25,14,14,25,687,77.3,5.22,41816630
High,P16989,YBX3,Y-box-binding protein 3,44,10,5,15,372,40.1,9.77,4452691.125
High,Q8N1N4,KRT78,"Keratin, type II cytoskeletal 78",29,16,13,27,520,56.8,6.02,30626526.6875
High,P42224,STAT1,Signal transducer and activator of transcription 1-alpha/beta,24,15,15,23,750,87.3,6.05,13710511.375
High,P62906,RPL10A,60S ribosomal protein L10a,33,10,10,27,217,24.8,9.94,124390805
High,O95782,AP2A1,AP-2 complex subunit alpha-1,20,16,11,29,977,107.5,7.03,37653639.1875
High,P02768,ALB,Albumin,20,15,15,68,609,69.3,6.28,2585278343.75
High,Q9C0C2,TNKS1BP1,182 kDa tankyrase-1-binding protein,14,16,16,25,1729,181.7,4.86,12856647.125
High,Q96PK6,RBM14,RNA-binding protein 14,27,15,15,27,669,69.4,9.67,48571464.375
High,P18124,RPL7,60S ribosomal protein L7,48,15,15,29,248,29.2,10.65,118828655.5
High,Q69YQ0,SPECC1L,Cytospin-A,19,15,15,26,1117,124.5,5.76,17237337.71875
High,P62424,RPL7A,60S ribosomal protein L7a,39,13,13,29,266,30.0,10.61,147810315.875
High,Q9NZB2,FAM120A,Constitutive coactivator of PPAR-gamma-like protein 1,20,15,15,23,1118,121.8,8.88,18061612.3125
High,Q14444,CAPRIN1,Caprin-1,21,10,10,18,709,78.3,5.25,34421347.125
High,Q6UN15,FIP1L1,Pre-mRNA 3'-end-processing factor FIP1,25,10,10,20,594,66.5,5.59,75479132.25
High,O43776,NARS1,"Asparagine--tRNA ligase, cytoplasmic",24,13,13,20,548,62.9,6.25,34110386.125
High,Q460N5,PARP14,Protein mono-ADP-ribosyltransferase PARP14,11,19,19,31,1801,202.7,7.18,22806447
High,P17987,TCP1,T-complex protein 1 subunit alpha,29,14,14,30,556,60.3,6.11,27347686.84375
High,P25205,MCM3,DNA replication licensing factor MCM3,23,15,15,27,808,90.9,5.77,39756665.125
High,Q16630,CPSF6,Cleavage and polyadenylation specificity factor subunit 6,14,9,9,23,551,59.2,7.15,111095248.25
High,O15231,ZNF185,Zinc finger protein 185,34,15,15,24,689,73.5,7.01,19881628.25
